"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 23:36:58:666 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.5","0","0"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","261","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","90"
"""cold""","true","0","1","5","90"
"""moderate""","true","0","1","55","90"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","1","55","true"
"2","0","25","true","2","0","5","true","2","2","55","true"
"3","0","25","true","3","0","5","true","3","5","55","true"
"4","0","25","true","4","0","5","true","4","10","55","true"
"5","0","25","true","5","0","5","true","5","12","55","true"
"6","0","25","true","6","0","5","true","6","15","55","true"
"7","0","25","true","7","0","5","true","7","23","55","true"
"8","0","25","true","8","0","5","true","8","32","55","true"
"9","0","25","true","9","0","5","true","9","35","55","true"
"10","0","25","true","10","0","5","true","10","38","55","true"
"11","0","25","true","11","0","5","true","11","42","55","true"
"12","0","25","true","12","0","5","true","12","47","55","true"
"13","0","25","true","13","0","5","true","13","49","55","true"
"14","0","25","true","14","0","5","true","14","55","55","true"
"15","0","25","true","15","0","5","true","15","61","55","true"
"16","0","25","true","16","0","5","true","16","66","55","true"
"17","0","25","true","17","0","5","true","17","71","55","true"
"18","0","25","true","18","0","5","true","18","80","55","true"
"19","0","25","true","19","0","5","true","19","88","55","true"
"20","0","25","true","20","3","5","true","20","90","55","true"
"21","0","25","true","21","5","5","true","21","97","55","true"
"22","0","25","true","22","5","5","true","22","103","55","true"
"23","0","25","true","23","6","5","true","23","106","55","true"
"24","0","25","true","24","6","5","true","24","109","55","true"
"25","0","25","true","25","6","5","true","25","110","55","true"
"26","0","25","true","26","6","5","true","26","110","55","true"
"27","0","25","true","27","6","5","true","27","114","55","true"
"28","2","25","true","28","6","5","true","28","113","55","true"
"29","4","25","true","29","6","5","true","29","115","55","true"
"30","5","25","true","30","6","5","true","30","117","55","true"
"31","5","25","true","31","6","5","true","31","122","55","true"
"32","7","25","true","32","6","5","true","32","125","55","true"
"33","9","25","true","33","6","5","true","33","134","55","true"
"34","12","25","true","34","6","5","true","34","138","55","true"
"35","13","25","true","35","6","5","true","35","138","55","true"
"36","15","25","true","36","6","5","true","36","137","55","true"
"37","18","25","true","37","6","5","true","37","138","55","true"
"38","18","25","true","38","6","5","true","38","136","55","true"
"39","18","25","true","39","5","5","true","39","134","55","true"
"40","21","25","true","40","5","5","true","40","132","55","true"
"41","24","25","true","41","6","5","true","41","132","55","true"
"42","27","25","true","42","6","5","true","42","127","55","true"
"43","29","25","true","43","6","5","true","43","124","55","true"
"44","30","25","true","44","9","5","true","44","119","55","true"
"45","30","25","true","45","12","5","true","45","118","55","true"
"46","33","25","true","46","12","5","true","46","119","55","true"
"47","34","25","true","47","12","5","true","47","117","55","true"
"48","32","25","true","48","13","5","true","48","113","55","true"
"49","32","25","true","49","14","5","true","49","113","55","true"
"50","33","25","true","50","16","5","true","50","114","55","true"
"51","34","25","true","51","15","5","true","51","111","55","true"
"52","34","25","true","52","16","5","true","52","110","55","true"
"53","35","25","true","53","17","5","true","53","110","55","true"
"54","35","25","true","54","16","5","true","54","115","55","true"
"55","38","25","true","55","16","5","true","55","117","55","true"
"56","37","25","true","56","16","5","true","56","122","55","true"
"57","36","25","true","57","16","5","true","57","118","55","true"
"58","34","25","true","58","18","5","true","58","117","55","true"
"59","35","25","true","59","18","5","true","59","118","55","true"
