"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 01:09:28:771 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.5","30","5"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","36.3","0","10","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","30"

"""cases"""
"x","y","color","pen down?"
"0","2","15","true"
"1","1","15","true"
"2","1","15","true"
"3","1","15","true"
"4","0","15","true"
"5","0","15","true"
"6","1","15","true"
"7","4","15","true"
"8","0","15","true"
"9","3","15","true"
"10","3","15","true"
"11","4","15","true"
"12","0","15","true"
"13","3","15","true"
"14","2","15","true"
"15","2","15","true"
"16","2","15","true"
"17","4","15","true"
"18","3","15","true"
"19","0","15","true"
"20","2","15","true"
"21","0","15","true"
"22","1","15","true"
"23","2","15","true"
"24","0","15","true"
"25","2","15","true"
"26","5","15","true"
"27","4","15","true"
"28","6","15","true"
"29","4","15","true"
"30","10","15","true"
