"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:39:37:854 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.5","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.5","5","20"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","36.3","0","13.2","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","30"

"""cases"""
"x","y","color","pen down?"
"0","3","15","true"
"1","0","15","true"
"2","4","15","true"
"3","0","15","true"
"4","2","15","true"
"5","2","15","true"
"6","2","15","true"
"7","3","15","true"
"8","5","15","true"
"9","6","15","true"
"10","7","15","true"
"11","3","15","true"
"12","4","15","true"
"13","4","15","true"
"14","5","15","true"
"15","4","15","true"
"16","7","15","true"
"17","6","15","true"
"18","12","15","true"
"19","9","15","true"
"20","12","15","true"
"21","8","15","true"
"22","12","15","true"
"23","5","15","true"
"24","9","15","true"
"25","10","15","true"
"26","8","15","true"
"27","10","15","true"
"28","10","15","true"
"29","12","15","true"
"30","5","15","true"
