"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:04:49:969 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.05","365","0.43","true","1","1","0.3","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","329","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","270"
"""cold""","true","0","1","5","270"
"""moderate""","true","0","1","55","270"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","2","55","true"
"2","0","25","true","2","0","5","true","2","4","55","true"
"3","0","25","true","3","0","5","true","3","6","55","true"
"4","0","25","true","4","0","5","true","4","12","55","true"
"5","0","25","true","5","0","5","true","5","14","55","true"
"6","0","25","true","6","0","5","true","6","16","55","true"
"7","0","25","true","7","0","5","true","7","19","55","true"
"8","0","25","true","8","0","5","true","8","22","55","true"
"9","0","25","true","9","0","5","true","9","24","55","true"
"10","0","25","true","10","0","5","true","10","27","55","true"
"11","0","25","true","11","1","5","true","11","30","55","true"
"12","0","25","true","12","1","5","true","12","33","55","true"
"13","0","25","true","13","1","5","true","13","36","55","true"
"14","0","25","true","14","2","5","true","14","38","55","true"
"15","0","25","true","15","2","5","true","15","39","55","true"
"16","0","25","true","16","2","5","true","16","42","55","true"
"17","0","25","true","17","2","5","true","17","45","55","true"
"18","0","25","true","18","2","5","true","18","47","55","true"
"19","0","25","true","19","3","5","true","19","51","55","true"
"20","0","25","true","20","3","5","true","20","52","55","true"
"21","0","25","true","21","5","5","true","21","52","55","true"
"22","0","25","true","22","5","5","true","22","53","55","true"
"23","0","25","true","23","6","5","true","23","55","55","true"
"24","0","25","true","24","6","5","true","24","56","55","true"
"25","0","25","true","25","6","5","true","25","58","55","true"
"26","0","25","true","26","7","5","true","26","58","55","true"
"27","0","25","true","27","7","5","true","27","57","55","true"
"28","0","25","true","28","7","5","true","28","58","55","true"
"29","0","25","true","29","8","5","true","29","59","55","true"
"30","0","25","true","30","8","5","true","30","68","55","true"
"31","0","25","true","31","12","5","true","31","78","55","true"
"32","0","25","true","32","12","5","true","32","83","55","true"
"33","0","25","true","33","12","5","true","33","86","55","true"
