"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:19:22:018 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.9","365","0.43","true","1","1","0.6","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","36.3","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","90"

"""cases"""
"x","y","color","pen down?"
"0","1","15","true"
"1","1","15","true"
"2","0","15","true"
"3","0","15","true"
"4","2","15","true"
"5","2","15","true"
"6","2","15","true"
"7","3","15","true"
"8","1","15","true"
"9","1","15","true"
"10","4","15","true"
"11","1","15","true"
"12","3","15","true"
"13","2","15","true"
"14","2","15","true"
"15","2","15","true"
"16","2","15","true"
"17","5","15","true"
"18","0","15","true"
"19","1","15","true"
"20","2","15","true"
"21","2","15","true"
"22","8","15","true"
"23","6","15","true"
"24","6","15","true"
"25","9","15","true"
"26","6","15","true"
"27","6","15","true"
"28","8","15","true"
"29","12","15","true"
"30","8","15","true"
"31","10","15","true"
"32","13","15","true"
"33","11","15","true"
"34","14","15","true"
"35","11","15","true"
"36","9","15","true"
"37","13","15","true"
"38","12","15","true"
"39","9","15","true"
"40","7","15","true"
"41","6","15","true"
"42","8","15","true"
"43","4","15","true"
"44","4","15","true"
"45","12","15","true"
"46","9","15","true"
"47","21","15","true"
"48","24","15","true"
"49","16","15","true"
"50","19","15","true"
"51","19","15","true"
"52","16","15","true"
"53","17","15","true"
"54","16","15","true"
"55","24","15","true"
"56","22","15","true"
"57","33","15","true"
"58","31","15","true"
"59","20","15","true"
"60","13","15","true"
"61","13","15","true"
"62","9","15","true"
"63","7","15","true"
"64","10","15","true"
"65","14","15","true"
"66","11","15","true"
"67","11","15","true"
"68","21","15","true"
"69","22","15","true"
"70","3","15","true"
"71","7","15","true"
"72","10","15","true"
"73","15","15","true"
"74","11","15","true"
"75","11","15","true"
"76","7","15","true"
"77","3","15","true"
"78","8","15","true"
"79","3","15","true"
"80","6","15","true"
"81","3","15","true"
"82","6","15","true"
"83","6","15","true"
"84","7","15","true"
"85","7","15","true"
"86","6","15","true"
"87","12","15","true"
"88","12","15","true"
"89","11","15","true"
"90","8","15","true"
