"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:03:08:453 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.05","365","0.43","true","1","1","0.3","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","107","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","60"
"""cold""","true","0","1","5","60"
"""moderate""","true","0","1","55","60"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","3","55","true"
"2","0","25","true","2","0","5","true","2","4","55","true"
"3","0","25","true","3","0","5","true","3","6","55","true"
"4","0","25","true","4","0","5","true","4","8","55","true"
"5","0","25","true","5","0","5","true","5","10","55","true"
"6","0","25","true","6","0","5","true","6","13","55","true"
"7","0","25","true","7","0","5","true","7","16","55","true"
"8","0","25","true","8","0","5","true","8","16","55","true"
"9","0","25","true","9","0","5","true","9","19","55","true"
"10","0","25","true","10","0","5","true","10","21","55","true"
"11","0","25","true","11","0","5","true","11","23","55","true"
"12","0","25","true","12","0","5","true","12","24","55","true"
"13","0","25","true","13","0","5","true","13","27","55","true"
"14","0","25","true","14","0","5","true","14","27","55","true"
"15","0","25","true","15","0","5","true","15","30","55","true"
"16","0","25","true","16","0","5","true","16","34","55","true"
"17","0","25","true","17","0","5","true","17","35","55","true"
"18","0","25","true","18","0","5","true","18","37","55","true"
"19","0","25","true","19","0","5","true","19","38","55","true"
"20","0","25","true","20","0","5","true","20","39","55","true"
"21","0","25","true","21","0","5","true","21","39","55","true"
"22","0","25","true","22","0","5","true","22","41","55","true"
"23","0","25","true","23","0","5","true","23","40","55","true"
"24","0","25","true","24","0","5","true","24","42","55","true"
"25","0","25","true","25","1","5","true","25","42","55","true"
"26","0","25","true","26","3","5","true","26","44","55","true"
"27","0","25","true","27","3","5","true","27","47","55","true"
"28","0","25","true","28","3","5","true","28","51","55","true"
"29","0","25","true","29","3","5","true","29","54","55","true"
"30","0","25","true","30","3","5","true","30","58","55","true"
"31","1","25","true","31","3","5","true","31","58","55","true"
"32","1","25","true","32","3","5","true","32","59","55","true"
"33","1","25","true","33","3","5","true","33","61","55","true"
"34","1","25","true","34","3","5","true","34","62","55","true"
"35","1","25","true","35","3","5","true","35","66","55","true"
"36","1","25","true","36","3","5","true","36","70","55","true"
"37","1","25","true","37","4","5","true","37","73","55","true"
"38","1","25","true","38","4","5","true","38","75","55","true"
"39","1","25","true","39","4","5","true","39","78","55","true"
"40","2","25","true","40","4","5","true","40","75","55","true"
"41","3","25","true","41","4","5","true","41","75","55","true"
"42","3","25","true","42","4","5","true","42","76","55","true"
"43","3","25","true","43","5","5","true","43","78","55","true"
"44","3","25","true","44","5","5","true","44","79","55","true"
"45","4","25","true","45","4","5","true","45","80","55","true"
"46","4","25","true","46","4","5","true","46","82","55","true"
"47","4","25","true","47","4","5","true","47","88","55","true"
"48","4","25","true","48","5","5","true","48","89","55","true"
"49","5","25","true","49","6","5","true","49","92","55","true"
"50","5","25","true","50","6","5","true","50","95","55","true"
"51","5","25","true","51","6","5","true","51","95","55","true"
"52","5","25","true","52","7","5","true","52","96","55","true"
"53","6","25","true","53","6","5","true","53","97","55","true"
"54","9","25","true","54","6","5","true","54","98","55","true"
"55","9","25","true","55","6","5","true","55","94","55","true"
"56","9","25","true","56","6","5","true","56","89","55","true"
"57","10","25","true","57","5","5","true","57","88","55","true"
"58","10","25","true","58","5","5","true","58","86","55","true"
"59","9","25","true","59","6","5","true","59","83","55","true"
"60","9","25","true","60","6","5","true","60","84","55","true"
