"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:08:13:052 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.03","1","0.6","365","0.43","true","1","1","0.3","4","0.3","20","13","false","0.25","false","30","0.1","10","0.05","24","17"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","365","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","90"
"""cold""","true","0","1","5","90"
"""moderate""","true","0","1","55","90"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","3","55","true"
"2","0","25","true","2","0","5","true","2","4","55","true"
"3","0","25","true","3","0","5","true","3","6","55","true"
"4","0","25","true","4","0","5","true","4","8","55","true"
"5","0","25","true","5","0","5","true","5","8","55","true"
"6","0","25","true","6","0","5","true","6","11","55","true"
"7","0","25","true","7","0","5","true","7","16","55","true"
"8","0","25","true","8","0","5","true","8","20","55","true"
"9","0","25","true","9","0","5","true","9","26","55","true"
"10","0","25","true","10","0","5","true","10","29","55","true"
"11","0","25","true","11","0","5","true","11","32","55","true"
"12","0","25","true","12","1","5","true","12","36","55","true"
"13","0","25","true","13","3","5","true","13","39","55","true"
"14","0","25","true","14","4","5","true","14","46","55","true"
"15","0","25","true","15","5","5","true","15","49","55","true"
"16","0","25","true","16","6","5","true","16","53","55","true"
"17","0","25","true","17","8","5","true","17","54","55","true"
"18","0","25","true","18","10","5","true","18","57","55","true"
"19","0","25","true","19","12","5","true","19","60","55","true"
"20","0","25","true","20","14","5","true","20","62","55","true"
"21","0","25","true","21","16","5","true","21","62","55","true"
"22","1","25","true","22","17","5","true","22","64","55","true"
"23","2","25","true","23","17","5","true","23","67","55","true"
"24","2","25","true","24","18","5","true","24","69","55","true"
"25","2","25","true","25","19","5","true","25","71","55","true"
"26","2","25","true","26","20","5","true","26","73","55","true"
"27","2","25","true","27","21","5","true","27","77","55","true"
"28","2","25","true","28","23","5","true","28","83","55","true"
"29","2","25","true","29","25","5","true","29","84","55","true"
"30","2","25","true","30","26","5","true","30","86","55","true"
"31","3","25","true","31","27","5","true","31","92","55","true"
"32","3","25","true","32","27","5","true","32","99","55","true"
"33","3","25","true","33","29","5","true","33","107","55","true"
"34","4","25","true","34","29","5","true","34","114","55","true"
"35","4","25","true","35","30","5","true","35","129","55","true"
"36","4","25","true","36","31","5","true","36","137","55","true"
"37","4","25","true","37","30","5","true","37","142","55","true"
"38","4","25","true","38","34","5","true","38","146","55","true"
"39","4","25","true","39","36","5","true","39","151","55","true"
"40","4","25","true","40","37","5","true","40","160","55","true"
"41","4","25","true","41","38","5","true","41","165","55","true"
"42","6","25","true","42","42","5","true","42","167","55","true"
"43","6","25","true","43","43","5","true","43","163","55","true"
"44","7","25","true","44","46","5","true","44","162","55","true"
"45","7","25","true","45","45","5","true","45","159","55","true"
"46","8","25","true","46","43","5","true","46","162","55","true"
"47","10","25","true","47","44","5","true","47","161","55","true"
"48","11","25","true","48","46","5","true","48","163","55","true"
"49","11","25","true","49","49","5","true","49","169","55","true"
"50","13","25","true","50","49","5","true","50","174","55","true"
"51","12","25","true","51","46","5","true","51","185","55","true"
"52","12","25","true","52","45","5","true","52","188","55","true"
"53","11","25","true","53","46","5","true","53","206","55","true"
"54","14","25","true","54","53","5","true","54","229","55","true"
"55","15","25","true","55","62","5","true","55","247","55","true"
"56","19","25","true","56","85","5","true","56","246","55","true"
"57","21","25","true","57","87","5","true","57","254","55","true"
"58","24","25","true","58","89","5","true","58","265","55","true"
"59","28","25","true","59","91","5","true","59","287","55","true"
"60","29","25","true","60","91","5","true","60","312","55","true"
"61","34","25","true","61","90","5","true","61","332","55","true"
"62","36","25","true","62","90","5","true","62","341","55","true"
"63","39","25","true","63","90","5","true","63","339","55","true"
